식별번호,NC,OS,P,S,TS,해당되는 등급
ISM-1645,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1646,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1647,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1648,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1649,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1650,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1654,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1655,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1656,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1657,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1658,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1659,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1660,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1667,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1668,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1669,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1670,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1671,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1672,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1673,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1674,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1675,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1676,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1679,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1680,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1681,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1682,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1683,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1685,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1686,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1687,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1688,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1689,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1690,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1691,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1692,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1693,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1694,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1695,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1696,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1697,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1698,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1699,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1700,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1701,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
ISM-1702,Y,Y,Y,Y,Y,"NC, OS, P, S, TS"
